timestamp,m_machines,n_jobs,budget_multiplier,budget,repetition,seed,ceiling_status,ceiling_nodes,ceiling_time,ceiling_initial,ceiling_final,ceiling_improvement,maxlpt_status,maxlpt_nodes,maxlpt_time,maxlpt_initial,maxlpt_final,maxlpt_improvement
2026-03-07 17:22:11,2,8,2.5,279.0,4,148593754,completed,123,0.008,205.0,210.0,-5.0,completed,77,0.01,205.0,210.0,-5.0
2026-03-07 17:22:11,2,20,2.5,300.0,1,4274752094,completed,214,0.013,390.0,390.0,0.0,completed,147,0.0485,390.0,390.0,0.0
2026-03-07 17:22:12,2,20,2.5,288.0,4,3033593314,completed,1369,0.022,351.0,358.0,-7.0,completed,553,0.0525,351.0,358.0,-7.0
2026-03-07 17:22:12,2,24,2.5,261.0,1,2784118079,completed,1750,0.0495,349.0,360.0,-11.0,completed,457,0.082,349.0,360.0,-11.0
2026-03-07 17:22:13,4,12,2.5,536.0,3,3853398262,completed,11706,0.4621,289.0,297.0,-8.0,completed,1473,0.3205,289.0,297.0,-8.0
2026-03-07 17:22:15,4,12,2.5,582.0,4,3472791631,completed,11405,1.1329,267.0,274.0,-7.0,completed,1227,0.6696,267.0,274.0,-7.0
2026-03-07 17:22:24,4,20,2.5,508.0,2,3730832136,completed,537110,5.4911,266.0,270.0,-4.0,completed,33712,3.129,266.0,270.0,-4.0
2026-03-07 17:22:30,4,20,2.5,587.0,5,2489673356,completed,1106729,5.3477,205.0,205.0,0.0,completed,25851,0.3225,205.0,205.0,0.0
2026-03-07 17:22:31,6,4,2.5,1173.0,2,2859899726,completed,892,0.098,144.0,144.0,0.0,completed,572,0.1045,144.0,144.0,0.0
2026-03-07 17:22:42,6,16,2.5,1072.0,4,5540805,completed,1385822,7.8603,228.0,228.0,0.0,completed,68310,1.4428,228.0,228.0,0.0
2026-03-07 17:36:43,6,24,2.5,655.0,4,4046994216,completed,46067096,812.5306,423.0,425.0,-2.0,completed,373649,25.2229,423.0,425.0,-2.0
2026-03-07 17:39:27,8,12,2.5,1041.0,3,1643046071,completed,585161,87.9254,290.0,290.0,0.0,completed,47043,74.7526,290.0,290.0,0.0
2026-03-07 17:57:36,8,16,2.5,992.0,2,3533441198,completed,54953773,1072.3847,238.0,238.0,0.0,completed,421798,15.0727,238.0,238.0,0.0
2026-03-07 19:02:06,8,16,2.5,1195.0,5,2192943531,completed,814223,59.2007,396.0,396.0,0.0,completed,149337,54.5988,396.0,396.0,0.0
2026-03-07 19:47:43,8,20,2.5,1127.0,4,4149574242,completed,9853591,424.4042,490.0,491.0,-1.0,completed,442149,356.9652,490.0,491.0,-1.0
2026-03-07 19:48:48,10,8,2.5,1956.0,5,3551316295,completed,650932,31.7028,170.0,170.0,0.0,completed,51731,28.0501,170.0,170.0,0.0
2026-03-07 22:03:27,10,12,2.5,1187.0,2,4107161910,completed,4942901,332.3862,360.0,360.0,0.0,completed,233757,301.0861,360.0,360.0,0.0
2026-03-07 22:04:09,10,16,2.5,1604.0,2,1222644223,completed,5887781,37.0049,279.0,287.0,-8.0,completed,204104,2.8157,279.0,287.0,-8.0
2026-03-07 22:04:36,10,16,2.5,1490.0,3,2989521240,completed,3687177,23.9673,396.0,396.0,0.0,completed,155429,3.589,396.0,396.0,0.0
