parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,1.2,0,12000,8,4,1.2,0.011170148849487305,0,0,0.0,80.0,success,0.008997678756713867,0,0,0.0,80.0,success,True,,
budget,1.2,1,12001,8,4,1.2,0.4936375617980957,3668,2804,0.7644492911668485,72.0,success,0.1730952262878418,437,212,0.4851258581235698,72.0,success,True,88.08615049073065,2.8518265487993344
budget,1.2,2,12002,8,4,1.2,0.00800466537475586,0,0,0.0,90.0,success,0.009673118591308594,0,0,0.0,90.0,success,True,,
budget,1.2,3,12003,8,4,1.2,0.006000995635986328,0,0,0.0,76.0,success,0.00700068473815918,0,0,0.0,76.0,success,True,,
budget,1.2,4,12004,8,4,1.2,0.005999565124511719,0,0,0.0,108.0,success,0.009000778198242188,0,0,0.0,108.0,success,True,,
budget,1.4,0,14000,8,4,1.4,0.008001089096069336,0,0,0.0,150.0,success,0.009470701217651367,0,0,0.0,150.0,success,True,,
budget,1.4,1,14001,8,4,1.4,0.00700068473815918,0,0,0.0,120.0,success,0.008000373840332031,0,0,0.0,120.0,success,True,,
budget,1.4,2,14002,8,4,1.4,0.006000518798828125,0,0,0.0,126.0,success,0.007999181747436523,0,0,0.0,126.0,success,True,,
budget,1.4,3,14003,8,4,1.4,0.007004976272583008,0,0,0.0,126.0,success,0.009159326553344727,0,0,0.0,126.0,success,True,,
budget,1.4,4,14004,8,4,1.4,0.09839224815368652,390,320,0.8205128205128205,162.0,success,0.0615537166595459,114,81,0.7105263157894737,162.0,success,True,70.76923076923076,1.5984777767018494
budget,1.6,0,16000,8,4,1.6,0.012447834014892578,0,0,0.0,150.0,success,0.013000965118408203,0,0,0.0,150.0,success,True,,
budget,1.6,1,16001,8,4,1.6,0.009999752044677734,0,0,0.0,209.0,success,0.01100015640258789,0,0,0.0,209.0,success,True,,
budget,1.6,2,16002,8,4,1.6,0.6872994899749756,11017,9076,0.8238177362258328,75.0,success,0.21757102012634277,1697,1076,0.6340601060695344,75.0,success,True,84.59653263138786,3.1589661599962304
budget,1.6,3,16003,8,4,1.6,0.009002923965454102,0,0,0.0,100.0,success,0.009621858596801758,0,0,0.0,100.0,success,True,,
budget,1.6,4,16004,8,4,1.6,5.1942408084869385,3234,1714,0.5299938157081014,136.0,success,2.099581480026245,846,220,0.26004728132387706,136.0,success,True,73.8404452690167,2.4739410486808113
budget,1.8,0,18000,8,4,1.8,3.781096935272217,46670,38762,0.8305549603599743,80.0,success,0.7451260089874268,5323,4436,0.8333646439977457,80.0,success,True,88.59438611527747,5.074439611107467
budget,1.8,1,18001,8,4,1.8,0.008081912994384766,0,0,0.0,190.0,success,0.009001016616821289,0,0,0.0,190.0,success,True,,
budget,1.8,2,18002,8,4,1.8,4.884703636169434,21505,19219,0.8936991397349454,84.0,success,0.6935389041900635,2127,1811,0.8514339445228021,84.0,success,True,90.10927691234598,7.043157358092181
budget,1.8,3,18003,8,4,1.8,0.010905027389526367,0,0,0.0,221.0,success,0.01000070571899414,0,0,0.0,221.0,success,True,,
budget,1.8,4,18004,8,4,1.8,0.3147928714752197,7427,6955,0.9364480947892824,100.0,success,0.07076215744018555,1358,1285,0.9462444771723122,100.0,success,True,81.71536286522148,4.448604774964791
budget,2.0,0,20000,8,4,2.0,3.43509578704834,37655,32040,0.8508830168636303,102.0,success,0.5567700862884521,2020,1647,0.8153465346534653,102.0,success,True,94.6355065728323,6.16968452803817
budget,2.0,1,20001,8,4,2.0,0.010405540466308594,0,0,0.0,105.0,success,0.010999441146850586,0,0,0.0,105.0,success,True,,
budget,2.0,2,20002,8,4,2.0,0.008997201919555664,0,0,0.0,304.0,success,0.01686692237854004,0,0,0.0,304.0,success,True,,
budget,2.0,3,20003,8,4,2.0,0.007999181747436523,0,0,0.0,140.0,success,0.012254476547241211,0,0,0.0,140.0,success,True,,
budget,2.0,4,20004,8,4,2.0,1.8463926315307617,6716,6034,0.8984514592019059,112.0,success,1.0981669425964355,1837,1553,0.8454001088731627,112.0,success,True,72.64740917212626,1.6813405684615395
budget,2.2,0,22000,8,4,2.2,0.010176897048950195,0,0,0.0,153.0,success,0.011003971099853516,0,0,0.0,153.0,success,True,,
budget,2.2,1,22001,8,4,2.2,0.010514497756958008,0,0,0.0,156.0,success,0.013002872467041016,0,0,0.0,156.0,success,True,,
budget,2.2,2,22002,8,4,2.2,0.011000394821166992,0,0,0.0,420.0,success,0.018002986907958984,0,0,0.0,420.0,success,True,,
budget,2.2,3,22003,8,4,2.2,0.010510444641113281,0,0,0.0,228.0,success,0.013000011444091797,0,0,0.0,228.0,success,True,,
budget,2.2,4,22004,8,4,2.2,5.93997049331665,2229,1279,0.5737999102736653,168.0,success,6.082003355026245,1434,525,0.36610878661087864,168.0,success,True,35.66621803499327,0.9766470267412436
budget,2.4,0,24000,8,4,2.4,0.008388042449951172,0,0,0.0,200.0,success,0.014004230499267578,0,0,0.0,200.0,success,True,,
budget,2.4,1,24001,8,4,2.4,0.007999658584594727,0,0,0.0,220.0,success,0.01400136947631836,0,0,0.0,220.0,success,True,,
budget,2.4,2,24002,8,4,2.4,11.097985029220581,77336,64088,0.8286955622219924,108.0,success,1.6526265144348145,3292,2518,0.7648845686512759,108.0,success,True,95.7432502327506,6.715361839039601
budget,2.4,3,24003,8,4,2.4,0.0625154972076416,697,529,0.7589670014347202,192.0,success,0.04683661460876465,247,186,0.7530364372469636,192.0,success,True,64.56241032998565,1.3347569573472744
budget,2.4,4,24004,8,4,2.4,17.998477458953857,135278,119750,0.8852141515989296,135.0,success,15.075806140899658,76233,67137,0.8806815945850223,135.0,success,True,43.64715622643741,1.1938650106494264
budget,2.6,0,26000,8,4,2.6,0.01100015640258789,0,0,0.0,204.0,success,0.017868518829345703,0,0,0.0,204.0,success,True,,
budget,2.6,1,26001,8,4,2.6,0.2277541160583496,4852,4601,0.9482687551525144,150.0,success,0.05299639701843262,397,367,0.924433249370277,150.0,success,True,91.81780708985985,4.297539622913133
budget,2.6,2,26002,8,4,2.6,0.01199960708618164,0,0,0.0,357.0,success,0.019492387771606445,0,0,0.0,357.0,success,True,,
budget,2.6,3,26003,8,4,2.6,0.008999824523925781,0,0,0.0,162.0,success,0.014996528625488281,0,0,0.0,162.0,success,True,,
budget,2.6,4,26004,8,4,2.6,0.008356809616088867,0,0,0.0,100.0,success,0.017438411712646484,0,0,0.0,100.0,success,True,,
budget,2.8,0,28000,8,4,2.8,0.011663675308227539,0,0,0.0,144.0,success,0.01656627655029297,0,0,0.0,144.0,success,True,,
budget,2.8,1,28001,8,4,2.8,0.013111591339111328,0,0,0.0,299.0,success,0.023003578186035156,0,0,0.0,299.0,success,True,,
budget,2.8,2,28002,8,4,2.8,0.009999990463256836,0,0,0.0,224.0,success,0.019038677215576172,0,0,0.0,224.0,success,True,,
budget,2.8,3,28003,8,4,2.8,0.3980727195739746,3436,2784,0.810244470314319,250.0,success,0.1335141658782959,434,325,0.7488479262672811,250.0,success,True,87.36903376018627,2.981501752681701
