parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
machines,2.0,0,20000,8,2,2.0,0.1330716609954834,0,0,0.0,204.0,success,0.012999773025512695,0,0,0.0,204.0,success,True,,
machines,2.0,1,20001,8,2,2.0,0.005999565124511719,0,0,0.0,200.0,success,0.010999917984008789,0,0,0.0,200.0,success,True,,
machines,2.0,2,20002,8,2,2.0,0.006999015808105469,0,0,0.0,589.0,success,0.013995170593261719,0,0,0.0,589.0,success,True,,
machines,2.0,3,20003,8,2,2.0,0.006303071975708008,0,0,0.0,270.0,success,0.010998249053955078,0,0,0.0,270.0,success,True,,
machines,2.0,4,20004,8,2,2.0,0.0069386959075927734,0,0,0.0,224.0,success,0.011998414993286133,0,0,0.0,224.0,success,True,,
machines,3,0,30000,8,3,2.0,0.02414226531982422,0,0,0.0,300.0,success,0.01600050926208496,0,0,0.0,300.0,success,True,,
machines,3,1,30001,8,3,2.0,0.008001089096069336,0,0,0.0,280.0,success,0.015001296997070312,0,0,0.0,280.0,success,True,,
machines,3,2,30002,8,3,2.0,0.009630918502807617,0,0,0.0,276.0,success,0.017511606216430664,0,0,0.0,276.0,success,True,,
machines,3,3,30003,8,3,2.0,0.009999513626098633,0,0,0.0,440.0,success,0.019002199172973633,0,0,0.0,440.0,success,True,,
machines,3,4,30004,8,3,2.0,0.010513067245483398,0,0,0.0,345.0,success,0.01799798011779785,0,0,0.0,345.0,success,True,,
machines,4,0,40000,8,4,2.0,0.007996320724487305,0,0,0.0,114.0,success,0.016001462936401367,0,0,0.0,114.0,success,True,,
machines,4,1,40001,8,4,2.0,0.012001752853393555,0,0,0.0,252.0,success,0.02200031280517578,0,0,0.0,252.0,success,True,,
machines,4,2,40002,8,4,2.0,10.595598459243774,8212,5218,0.6354115927910375,135.0,success,7.016233205795288,2183,465,0.21300961978928082,135.0,success,True,73.4169508037019,1.510154829302423
machines,4,3,40003,8,4,2.0,0.008000612258911133,0,0,0.0,171.0,success,0.013000965118408203,0,0,0.0,171.0,success,True,,
machines,4,4,40004,8,4,2.0,0.01000070571899414,0,0,0.0,342.0,success,0.01849532127380371,0,0,0.0,342.0,success,True,,
machines,5,0,50000,8,5,2.0,0.00899958610534668,0,0,0.0,132.0,success,0.01550602912902832,0,0,0.0,132.0,success,True,,
machines,5,1,50001,8,5,2.0,0.00899815559387207,0,0,0.0,143.0,success,0.01599860191345215,0,0,0.0,143.0,success,True,,
machines,5,2,50002,8,5,2.0,0.00800013542175293,0,0,0.0,126.0,success,0.01500082015991211,0,0,0.0,126.0,success,True,,
machines,5,3,50003,8,5,2.0,0.009001731872558594,0,0,0.0,120.0,success,0.014507532119750977,0,0,0.0,120.0,success,True,,
machines,5,4,50004,8,5,2.0,18.941187620162964,16077,14035,0.8729862536542887,112.0,success,16.565941095352173,6804,5359,0.7876249265138154,112.0,success,True,57.67867139391678,1.1433813214195965
machines,6,0,60000,8,6,2.0,0.01075124740600586,0,0,0.0,80.0,success,0.013002872467041016,0,0,0.0,80.0,success,True,,
machines,6,1,60001,8,6,2.0,0.009001016616821289,0,0,0.0,152.0,success,0.012997865676879883,0,0,0.0,152.0,success,True,,
machines,6,2,60002,8,6,2.0,0.011001348495483398,0,0,0.0,240.0,success,0.019087791442871094,0,0,0.0,240.0,success,True,,
machines,6,3,60003,8,6,2.0,0.011999130249023438,0,0,0.0,168.0,success,0.020370006561279297,0,0,0.0,168.0,success,True,,
machines,6,4,60004,8,6,2.0,0.0070035457611083984,0,0,0.0,68.0,success,0.01300358772277832,0,0,0.0,68.0,success,True,,
machines,7,0,70000,8,7,2.0,140.15925002098083,32582,15423,0.4733595236633724,112.0,success,125.93568897247314,18369,3536,0.19249823071479122,112.0,success,True,43.62224541157694,1.1129430518430454
machines,7,1,70001,8,7,2.0,388.30777382850647,27436,14029,0.5113354716430967,99.0,success,329.42039227485657,14367,3322,0.2312243335421452,99.0,success,True,47.634494824318416,1.1787605835418846
machines,7,2,70002,8,7,2.0,0.012002229690551758,0,0,0.0,112.0,success,0.01699972152709961,0,0,0.0,112.0,success,True,,
machines,7,3,70003,8,7,2.0,0.014997005462646484,0,0,0.0,91.0,success,0.024005413055419922,0,0,0.0,91.0,success,True,,
machines,7,4,70004,8,7,2.0,0.007994651794433594,0,0,0.0,52.0,success,0.011999368667602539,0,0,0.0,52.0,success,True,,
machines,8,0,80000,8,8,2.0,0.024013280868530273,0,0,0.0,83.0,success,0.03200864791870117,0,0,0.0,83.0,success,True,,
machines,8,1,80001,8,8,2.0,0.013507843017578125,0,0,0.0,84.0,success,0.018001794815063477,0,0,0.0,84.0,success,True,,
