parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
jobs,4.0,0,40000,4,4,2.0,0.011004447937011719,0,0,0.0,78.0,success,0.007733345031738281,0,0,0.0,78.0,success,True,,
jobs,4.0,1,40001,4,4,2.0,0.008001327514648438,0,0,0.0,72.0,success,0.007448673248291016,0,0,0.0,72.0,success,True,,
jobs,4.0,2,40002,4,4,2.0,0.23746395111083984,250,110,0.44,52.0,success,0.0930016040802002,88,18,0.20454545454545456,52.0,success,True,64.8,2.5533317780848397
jobs,4.0,3,40003,4,4,2.0,0.005004405975341797,0,0,0.0,36.0,success,0.005997419357299805,0,0,0.0,36.0,success,True,,
jobs,4.0,4,40004,4,4,2.0,0.010001182556152344,0,0,0.0,68.0,success,0.004996061325073242,0,0,0.0,68.0,success,True,,
jobs,6,0,60000,6,4,2.0,0.0060002803802490234,0,0,0.0,160.0,success,0.008904218673706055,0,0,0.0,160.0,success,True,,
jobs,6,1,60001,6,4,2.0,0.005780220031738281,0,0,0.0,95.0,success,0.006997346878051758,0,0,0.0,95.0,success,True,,
jobs,6,2,60002,6,4,2.0,0.007004261016845703,0,0,0.0,132.0,success,0.009000301361083984,0,0,0.0,132.0,success,True,,
jobs,6,3,60003,6,4,2.0,0.00999903678894043,0,0,0.0,95.0,success,0.010004281997680664,0,0,0.0,95.0,success,True,,
jobs,6,4,60004,6,4,2.0,0.15500426292419434,3199,2997,0.9368552672710222,105.0,success,0.07300424575805664,1244,1177,0.9461414790996785,105.0,success,True,61.112847764926535,2.123222578559252
jobs,8,0,80000,8,4,2.0,1.066258192062378,15049,13484,0.896006379161406,155.0,success,0.3834817409515381,2896,2655,0.9167817679558011,155.0,success,True,80.75619642501162,2.7804666512065426
jobs,8,1,80001,8,4,2.0,0.009901046752929688,0,0,0.0,156.0,success,0.012000083923339844,0,0,0.0,156.0,success,True,,
jobs,8,2,80002,8,4,2.0,0.007997512817382812,0,0,0.0,160.0,success,0.01000213623046875,0,0,0.0,160.0,success,True,,
jobs,8,3,80003,8,4,2.0,0.0060002803802490234,0,0,0.0,144.0,success,0.01000070571899414,0,0,0.0,144.0,success,True,,
jobs,8,4,80004,8,4,2.0,0.007000923156738281,0,0,0.0,133.0,success,0.008999109268188477,0,0,0.0,133.0,success,True,,
jobs,10,0,100000,10,4,2.0,0.008992195129394531,0,0,0.0,220.0,success,0.01799917221069336,0,0,0.0,220.0,success,True,,
jobs,10,1,100001,10,4,2.0,0.012000322341918945,0,0,0.0,396.0,success,0.023996829986572266,0,0,0.0,396.0,success,True,,
jobs,10,2,100002,10,4,2.0,0.012998104095458984,0,0,0.0,336.0,success,0.026998281478881836,0,0,0.0,336.0,success,True,,
jobs,10,3,100003,10,4,2.0,0.010000467300415039,0,0,0.0,240.0,success,0.02199721336364746,0,0,0.0,240.0,success,True,,
jobs,10,4,100004,10,4,2.0,0.009000539779663086,0,0,0.0,180.0,success,0.021999597549438477,0,0,0.0,180.0,success,True,,
jobs,12,0,120000,12,4,2.0,0.011474609375,0,0,0.0,270.0,success,0.038116455078125,0,0,0.0,270.0,success,True,,
jobs,12,1,120001,12,4,2.0,47.3069543838501,500003,414900,0.8297950212298726,190.0,success,2.9542481899261475,2248,1340,0.5960854092526691,190.0,success,True,99.55040269758382,16.01319569058709
jobs,12,2,120002,12,4,2.0,32.94513964653015,500001,419566,0.8391303217393565,168.0,success,478.45883560180664,500018,349897,0.6997688083229003,168.0,success,True,-0.003399993200003948,0.06885679016689425
jobs,12,3,120003,12,4,2.0,0.015051603317260742,0,0,0.0,340.0,success,0.039999961853027344,0,0,0.0,340.0,success,True,,
jobs,12,4,120004,12,4,2.0,2.492704153060913,44837,42860,0.9559069518478043,245.0,success,0.6235077381134033,6423,5993,0.9330530904561731,245.0,success,True,85.67477752748846,3.9978720402144248
jobs,14,0,140000,14,4,2.0,3.1050682067871094,25095,20686,0.8243076310021916,300.0,success,0.6407947540283203,873,632,0.7239404352806414,300.0,success,True,96.52121936640765,4.8456517274326485
jobs,14,1,140001,14,4,2.0,0.021000146865844727,0,0,0.0,660.0,success,0.07200241088867188,0,0,0.0,660.0,success,True,,
jobs,14,2,140002,14,4,2.0,0.41904306411743164,8605,8345,0.9697850087158628,480.0,success,0.2697908878326416,4395,4282,0.9742889647326507,480.0,success,True,48.925043579314355,1.5532142967607383
jobs,14,3,140003,14,4,2.0,0.01999950408935547,0,0,0.0,279.0,success,0.06123542785644531,0,0,0.0,279.0,success,True,,
jobs,14,4,140004,14,4,2.0,0.0204312801361084,0,0,0.0,544.0,success,0.0670006275177002,0,0,0.0,544.0,success,True,,
jobs,16,0,160000,16,4,2.0,0.021223783493041992,0,0,0.0,527.0,success,0.08999872207641602,0,0,0.0,527.0,success,True,,
jobs,16,1,160001,16,4,2.0,180.12875843048096,500044,460504,0.9209269584276584,323.0,success,93.78530645370483,8351,5570,0.6669859897018321,323.0,success,True,98.32994696466712,1.9206501022566662
jobs,16,2,160002,16,4,2.0,0.023000001907348633,0,0,0.0,646.0,success,0.08829522132873535,0,0,0.0,646.0,success,True,,
jobs,16,3,160003,16,4,2.0,0.020000934600830078,0,0,0.0,378.0,success,0.08800029754638672,0,0,0.0,378.0,success,True,,
jobs,16,4,160004,16,4,2.0,0.01772594451904297,0,0,0.0,288.0,success,0.05900096893310547,0,0,0.0,288.0,success,True,,
jobs,18,0,180000,18,4,2.0,30.256669998168945,500007,480737,0.9614605395524463,420.0,success,10.334171295166016,58101,55264,0.9511712362954166,420.0,success,True,88.37996268052247,2.9278274119882277
