========================================================================================================================
SENSITIVITY ANALYSIS: BUDGET MULTIPLIER - FULL RESULTS
========================================================================================================================

 budget_mult  repetitions  avg_runtime  min_runtime  max_runtime  avg_nodes_explored  min_nodes_explored  max_nodes_explored  avg_pruned_bound  avg_pruning_rate  avg_makespan  min_makespan  max_makespan  successes  timeouts
        1.20            5         0.50         0.13         1.62             3274.40                 850                4647           2553.20              0.79         85.20         72.00        108.00          5         0
        1.40            5         0.08         0.02         0.17              987.80                 185                2370            910.40              0.89        136.80        120.00        162.00          5         0
        1.60            5         1.26         0.09         5.07             3543.80                 236               11017           2734.60              0.72        134.00         75.00        209.00          5         0
        1.80            5         1.77         0.08         4.60            15572.60                 352               46670          13399.20              0.87        135.00         80.00        221.00          5         0
        2.00            5         3.57         0.01        12.42            29883.40                  92              104614          25309.40              0.90        152.60        102.00        304.00          5         0
        2.20            5         1.27         0.02         5.36             4901.80                 177               19724           4248.80              0.88        225.00        153.00        420.00          5         0
        2.40            5         9.87         0.03        20.64            47761.00                 474              135278          41244.40              0.86        171.00        108.00        220.00          5         0
        2.60            5         7.46         0.04        33.81            46404.00                 673              222069          41127.20              0.82        194.60        100.00        357.00          5         0
        2.80            5         9.09         0.04        43.03            87550.60                 714              423866          78947.80              0.88        205.00        108.00        299.00          5         0
        3.00            5         0.18         0.02         0.48             2841.20                 196               11724           2745.80              0.90        363.00        300.00        480.00          5         0
        3.20            5        13.66         0.05        67.04            17111.20                 941               62252          13815.80              0.91        228.20        135.00        324.00          5         0
        3.40            5        31.43         0.01       152.92            16040.20                  17               56395          12240.40              0.90        319.60        180.00        513.00          5         0
        3.60            5         2.91         0.05        12.17             9183.00                 743               39672           7278.40              0.87        311.40        170.00        364.00          5         0
        3.80            5         0.14         0.01         0.43             1426.80                  18                2724           1375.00              0.97        415.20        272.00        612.00          5         0
        4.00            5         0.18         0.03         0.55             3697.00                 230               11444           3509.80              0.94        395.80        209.00        666.00          5         0
        4.20            5         9.73         0.03        47.47            23305.80                 310              101433          20461.40              0.92        393.20        247.00        551.00          5         0
        4.40            5         1.45         0.03         6.65             3189.40                 305               11267           2864.20              0.86        484.00        306.00        703.00          5         0
        4.60            5         2.65         0.04         6.05            21326.20                 497               58994          19505.60              0.92        340.40        201.00        646.00          5         0
        4.80            5        38.27         0.02       162.35           131753.40                 156              435982         121614.20              0.94        429.80        208.00        741.00          5         0
        5.00            5         2.99         0.05         6.04            26603.20                 715               61115          25342.40              0.94        380.40        352.00        442.00          5         0
        5.20            5         0.28         0.04         1.15             3058.40                 293               12735           2830.40              0.89        551.80        338.00        740.00          5         0
        5.40            5        15.12         0.05        72.80             8907.00                 514               29827           8052.80              0.87        501.60        420.00        676.00          5         0
        5.60            5         1.70         0.23         4.83            12649.40                 852               36714          12111.60              0.84        456.40        216.00        828.00          5         0
        5.80            5        22.73         0.04        62.79            10557.40                 466               43009           9805.80              0.83        629.00        399.00        880.00          5         0
        6.00            5        28.10         0.04        74.39            39340.80                 249              170016          37475.60              0.94        610.60        268.00       1040.00          5         0
        6.20            5       102.09         0.04       504.45             9569.40                 204               35960           7248.20              0.87        494.80        240.00        722.00          5         0

