parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,runtime,nodes_explored,pruned_bound,pruning_rate,best_makespan,status
budget,1.2,0,12000,8,4,1.2,1.6198770999908447,4166,2871,0.6891502640422468,80.0,success
budget,1.2,1,12001,8,4,1.2,0.38005924224853516,3668,2804,0.7644492911668485,72.0,success
budget,1.2,2,12002,8,4,1.2,0.1482250690460205,3041,2559,0.8414995067412036,90.0,success
budget,1.2,3,12003,8,4,1.2,0.21117043495178223,4647,3838,0.825909188723908,76.0,success
budget,1.2,4,12004,8,4,1.2,0.12852048873901367,850,694,0.8164705882352942,108.0,success
budget,1.4,0,14000,8,4,1.4,0.03204941749572754,494,479,0.9696356275303644,150.0,success
budget,1.4,1,14001,8,4,1.4,0.16952204704284668,2370,2189,0.9236286919831224,120.0,success
budget,1.4,2,14002,8,4,1.4,0.0169980525970459,185,150,0.8108108108108109,126.0,success
budget,1.4,3,14003,8,4,1.4,0.07316160202026367,1500,1414,0.9426666666666667,126.0,success
budget,1.4,4,14004,8,4,1.4,0.10152268409729004,390,320,0.8205128205128205,162.0,success
budget,1.6,0,16000,8,4,1.6,0.11951994895935059,1538,1434,0.9323797139141743,150.0,success
budget,1.6,1,16001,8,4,1.6,0.30448102951049805,236,128,0.5423728813559322,209.0,success
budget,1.6,2,16002,8,4,1.6,0.684851884841919,11017,9076,0.8238177362258328,75.0,success
budget,1.6,3,16003,8,4,1.6,0.09387850761413574,1694,1321,0.7798110979929161,100.0,success
budget,1.6,4,16004,8,4,1.6,5.074151992797852,3234,1714,0.5299938157081014,136.0,success
budget,1.8,0,18000,8,4,1.8,3.784010171890259,46670,38762,0.8305549603599743,80.0,success
budget,1.8,1,18001,8,4,1.8,0.07692265510559082,352,280,0.7954545454545454,190.0,success
budget,1.8,2,18002,8,4,1.8,4.603765249252319,21407,19208,0.8972765917690475,84.0,success
budget,1.8,3,18003,8,4,1.8,0.09487009048461914,2007,1791,0.8923766816143498,221.0,success
budget,1.8,4,18004,8,4,1.8,0.3121154308319092,7427,6955,0.9364480947892824,100.0,success
budget,2.0,0,20000,8,4,2.0,3.4642839431762695,37655,32040,0.8508830168636303,102.0,success
budget,2.0,1,20001,8,4,2.0,12.424256324768066,104614,88062,0.8417802588563672,105.0,success
budget,2.0,2,20002,8,4,2.0,0.013997316360473633,92,88,0.9565217391304348,304.0,success
budget,2.0,3,20003,8,4,2.0,0.02399754524230957,340,323,0.95,140.0,success
budget,2.0,4,20004,8,4,2.0,1.912273645401001,6716,6034,0.8984514592019059,112.0,success
budget,2.2,0,22000,8,4,2.2,0.8618555068969727,19724,17404,0.8823767998377611,153.0,success
budget,2.2,1,22001,8,4,2.2,0.10851931571960449,2319,2216,0.9555843035791289,156.0,success
budget,2.2,2,22002,8,4,2.2,0.018507957458496094,177,172,0.9717514124293786,420.0,success
budget,2.2,3,22003,8,4,2.2,0.017999649047851562,194,192,0.9896907216494846,228.0,success
budget,2.2,4,22004,8,4,2.2,5.36431622505188,2095,1260,0.6014319809069213,168.0,success
budget,2.4,0,24000,8,4,2.4,20.64096736907959,25020,21403,0.855435651478817,200.0,success
budget,2.4,1,24001,8,4,2.4,0.03047013282775879,474,452,0.9535864978902954,220.0,success
budget,2.4,2,24002,8,4,2.4,10.760442733764648,77336,64088,0.8286955622219924,108.0,success
budget,2.4,3,24003,8,4,2.4,0.053075551986694336,697,529,0.7589670014347202,192.0,success
budget,2.4,4,24004,8,4,2.4,17.85895013809204,135278,119750,0.8852141515989296,135.0,success
budget,2.6,0,26000,8,4,2.6,0.03800058364868164,673,647,0.9613670133729569,204.0,success
budget,2.6,1,26001,8,4,2.6,0.21401143074035645,4852,4601,0.9482687551525144,150.0,success
budget,2.6,2,26002,8,4,2.6,3.0837392807006836,1335,579,0.4337078651685393,357.0,success
budget,2.6,3,26003,8,4,2.6,0.15050983428955078,3091,2686,0.8689744419281786,162.0,success
budget,2.6,4,26004,8,4,2.6,33.80821776390076,222069,197123,0.8876655453935488,100.0,success
budget,2.8,0,28000,8,4,2.8,1.430238962173462,6928,5514,0.7959006928406467,144.0,success
budget,2.8,1,28001,8,4,2.8,0.04250621795654297,714,700,0.9803921568627451,299.0,success
budget,2.8,2,28002,8,4,2.8,0.5875899791717529,2809,2601,0.9259522961908152,224.0,success
budget,2.8,3,28003,8,4,2.8,0.3766920566558838,3436,2784,0.810244470314319,250.0,success
budget,2.8,4,28004,8,4,2.8,43.03435683250427,423866,383140,0.9039177475900403,108.0,success
budget,3.0,0,30000,8,4,3.0,0.10852694511413574,495,448,0.9050505050505051,340.0,success
budget,3.0,1,30001,8,4,3.0,0.05896949768066406,1137,1050,0.9234828496042217,320.0,success
budget,3.0,2,30002,8,4,3.0,0.22158241271972656,654,553,0.845565749235474,300.0,success
budget,3.0,3,30003,8,4,3.0,0.020143747329711914,196,167,0.8520408163265306,480.0,success
budget,3.0,4,30004,8,4,3.0,0.48403406143188477,11724,11511,0.9818321392016377,375.0,success
budget,3.2,0,32000,8,4,3.2,0.052694082260131836,941,917,0.9744952178533475,324.0,success
budget,3.2,1,32001,8,4,3.2,0.8826122283935547,15156,14482,0.9555291633676432,170.0,success
budget,3.2,2,32002,8,4,3.2,0.23129057884216309,5355,5139,0.9596638655462185,240.0,success
budget,3.2,3,32003,8,4,3.2,67.03616952896118,62252,46831,0.752281051211206,135.0,success
budget,3.2,4,32004,8,4,3.2,0.08638763427734375,1852,1710,0.9233261339092873,272.0,success
budget,3.4,0,34000,8,4,3.4,0.012306451797485352,17,17,1.0,513.0,success
budget,3.4,1,34001,8,4,3.4,0.12761163711547852,2858,2798,0.9790062981105668,300.0,success
budget,3.4,2,34002,8,4,3.4,0.09651589393615723,2043,2002,0.9799314733235438,384.0,success
budget,3.4,3,34003,8,4,3.4,152.92229866981506,56395,40402,0.7164110293465733,180.0,success
budget,3.4,4,34004,8,4,3.4,3.991835594177246,18888,15983,0.8461986446421008,221.0,success
budget,3.6,0,36000,8,4,3.6,0.05721330642700195,1013,987,0.9743336623889437,320.0,success
budget,3.6,1,36001,8,4,3.6,0.04881858825683594,743,731,0.9838492597577388,364.0,success
budget,3.6,2,36002,8,4,3.6,12.173375129699707,39672,31176,0.7858439201451906,170.0,success
budget,3.6,3,36003,8,4,3.6,2.1590452194213867,3015,2287,0.7585406301824212,340.0,success
budget,3.6,4,36004,8,4,3.6,0.13637185096740723,1472,1211,0.8226902173913043,363.0,success
budget,3.8,0,38000,8,4,3.8,0.06850385665893555,1319,1302,0.9871114480667172,442.0,success
budget,3.8,1,38001,8,4,3.8,0.013962030410766602,18,18,1.0,612.0,success
budget,3.8,2,38002,8,4,3.8,0.12601828575134277,2724,2612,0.9588839941262849,272.0,success
budget,3.8,3,38003,8,4,3.8,0.42658305168151855,1325,1235,0.9320754716981132,405.0,success
budget,3.8,4,38004,8,4,3.8,0.08550667762756348,1748,1708,0.977116704805492,345.0,success
budget,4.0,0,40000,8,4,4.0,0.5485992431640625,11444,11025,0.9633869276476756,209.0,success
budget,4.0,1,40001,8,4,4.0,0.05200457572937012,800,785,0.98125,492.0,success
budget,4.0,2,40002,8,4,4.0,0.19081425666809082,4295,3865,0.89988358556461,270.0,success
budget,4.0,3,40003,8,4,4.0,0.08900260925292969,1716,1675,0.9761072261072261,342.0,success
budget,4.0,4,40004,8,4,4.0,0.026007652282714844,230,199,0.8652173913043478,666.0,success
budget,4.2,0,42000,8,4,4.2,47.46616053581238,101433,88405,0.8715605374976586,247.0,success
budget,4.2,1,42001,8,4,4.2,0.38125085830688477,4285,4099,0.9565927654609101,476.0,success
budget,4.2,2,42002,8,4,4.2,0.24117016792297363,5478,5346,0.9759036144578314,432.0,success
budget,4.2,3,42003,8,4,4.2,0.025505781173706055,310,306,0.9870967741935484,551.0,success
budget,4.2,4,42004,8,4,4.2,0.5305731296539307,5023,4151,0.8263985665936692,260.0,success
budget,4.4,0,44000,8,4,4.4,0.029005050659179688,305,250,0.819672131147541,527.0,success
budget,4.4,1,44001,8,4,4.4,0.48249316215515137,11267,10973,0.973906097452738,340.0,success
budget,4.4,2,44002,8,4,4.4,6.646751880645752,2617,1377,0.5261750095529232,544.0,success
budget,4.4,3,44003,8,4,4.4,0.0710608959197998,1406,1375,0.9779516358463727,306.0,success
budget,4.4,4,44004,8,4,4.4,0.0294187068939209,352,346,0.9829545454545454,703.0,success
budget,4.6,0,46000,8,4,4.6,0.2175288200378418,4311,3677,0.8529343539781953,300.0,success
budget,4.6,1,46001,8,4,4.6,0.03891777992248535,497,493,0.9919517102615694,646.0,success
budget,4.6,2,46002,8,4,4.6,6.019406795501709,21681,18422,0.8496840551635072,256.0,success
budget,4.6,3,46003,8,4,4.6,6.050295829772949,58994,54273,0.9199749127029867,201.0,success
budget,4.6,4,46004,8,4,4.6,0.9363842010498047,21148,20663,0.9770663892566673,299.0,success
budget,4.8,0,48000,8,4,4.8,0.1872708797454834,3689,3227,0.8747628083491461,325.0,success
budget,4.8,1,48001,8,4,4.8,0.023999452590942383,156,155,0.9935897435897436,741.0,success
budget,4.8,2,48002,8,4,4.8,0.04441666603088379,683,665,0.9736456808199122,476.0,success
budget,4.8,3,48003,8,4,4.8,28.739337682724,218257,211005,0.9667731160970782,399.0,success
budget,4.8,4,48004,8,4,4.8,162.35488438606262,435982,393019,0.9014569408828805,208.0,success
budget,5.0,0,50000,8,4,5.0,0.8713862895965576,8326,8127,0.9760989670910402,396.0,success
budget,5.0,1,50001,8,4,5.0,0.0500032901763916,715,698,0.9762237762237762,442.0,success
budget,5.0,2,50002,8,4,5.0,4.372640371322632,4012,3441,0.8576769690927218,360.0,success
budget,5.0,3,50003,8,4,5.0,6.036503553390503,61115,57590,0.9423218522457661,352.0,success
budget,5.0,4,50004,8,4,5.0,3.6265881061553955,58848,56856,0.9661500815660685,352.0,success
budget,5.2,0,52000,8,4,5.2,0.0409998893737793,517,510,0.9864603481624759,740.0,success
budget,5.2,1,52001,8,4,5.2,0.06700611114501953,488,377,0.7725409836065574,450.0,success
budget,5.2,2,52002,8,4,5.2,0.06751012802124023,293,230,0.7849829351535836,731.0,success
budget,5.2,3,52003,8,4,5.2,0.07441353797912598,1259,1244,0.9880857823669579,500.0,success
budget,5.2,4,52004,8,4,5.2,1.1480605602264404,12735,11791,0.925873576756969,338.0,success
budget,5.4,0,54000,8,4,5.4,2.0517821311950684,29827,28974,0.9714017500921983,420.0,success
budget,5.4,1,54001,8,4,5.4,0.5167942047119141,3352,3272,0.9761336515513126,558.0,success
budget,5.4,2,54002,8,4,5.4,72.80273008346558,8629,5437,0.630084598447097,429.0,success
budget,5.4,3,54003,8,4,5.4,0.16150879859924316,2213,2162,0.9769543605964753,676.0,success
budget,5.4,4,54004,8,4,5.4,0.04666423797607422,514,419,0.8151750972762646,425.0,success
budget,5.6,0,56000,8,4,5.6,0.22798991203308105,1523,1396,0.9166119500984898,435.0,success
