========================================================================================================================
SENSITIVITY ANALYSIS: JOB TYPES - FULL DATA
========================================================================================================================

parameter  value  repetition   seed  n_jobs  m_machines  budget_multiplier  runtime  nodes_explored  pruned_bound  pruning_rate  best_makespan  status
     jobs   4.00           0  40000       4           4               2.00     0.05              29            27          0.93          78.00 success
     jobs   4.00           1  40001       4           4               2.00     0.18             119            54          0.45          72.00 success
     jobs   4.00           2  40002       4           4               2.00     0.19             250           110          0.44          52.00 success
     jobs   4.00           3  40003       4           4               2.00     0.24             261            63          0.24          36.00 success
     jobs   4.00           4  40004       4           4               2.00     0.12             134            48          0.36          68.00 success
     jobs   6.00           0  60000       6           4               2.00     0.08             109            68          0.62         160.00 success
     jobs   6.00           1  60001       6           4               2.00     0.09             961           827          0.86          95.00 success
     jobs   6.00           2  60002       6           4               2.00     3.15            3094          2827          0.91         132.00 success
     jobs   6.00           3  60003       6           4               2.00     0.02             322           291          0.90          95.00 success
     jobs   6.00           4  60004       6           4               2.00     0.15            3199          2997          0.94         105.00 success
     jobs   8.00           0  80000       8           4               2.00     0.64           13053         11682          0.89         155.00 success
     jobs   8.00           1  80001       8           4               2.00     0.02             297           286          0.96         156.00 success
     jobs   8.00           2  80002       8           4               2.00     0.10            2178          2074          0.95         160.00 success
     jobs   8.00           3  80003       8           4               2.00     0.13            2632          2451          0.93         144.00 success
     jobs   8.00           4  80004       8           4               2.00     6.76           12499         10120          0.81         133.00 success
     jobs  10.00           0 100000      10           4               2.00     0.36            8350          7078          0.85         220.00 success
     jobs  10.00           1 100001      10           4               2.00     0.10            1041           983          0.94         396.00 success
     jobs  10.00           2 100002      10           4               2.00     0.14            3132          3073          0.98         336.00 success
     jobs  10.00           3 100003      10           4               2.00     2.55            2141          1619          0.76         240.00 success
     jobs  10.00           4 100004      10           4               2.00     0.45            8252          7845          0.95         180.00 success
     jobs  12.00           0 120000      12           4               2.00    17.60           32114         26819          0.84         270.00 success
     jobs  12.00           1 120001      12           4               2.00    45.59          500025        414899          0.83         190.00 success
     jobs  12.00           2 120002      12           4               2.00   278.89          500000        349258          0.70         168.00 success
     jobs  12.00           3 120003      12           4               2.00     0.58            8702          8468          0.97         340.00 success
     jobs  12.00           4 120004      12           4               2.00     2.27           37903         36452          0.96         245.00 success
     jobs  14.00           0 140000      14           4               2.00     3.60           25095         20686          0.82         300.00 success
     jobs  14.00           1 140001      14           4               2.00     0.13            2171          2117          0.98         660.00 success
     jobs  14.00           2 140002      14           4               2.00     0.39            8605          8345          0.97         480.00 success
     jobs  14.00           3 140003      14           4               2.00    30.08          500030        472470          0.94         279.00 success
     jobs  14.00           4 140004      14           4               2.00     0.05             751           729          0.97         544.00 success
     jobs  16.00           0 160000      16           4               2.00     1.26           21918         21460          0.98         527.00 success
     jobs  16.00           1 160001      16           4               2.00   210.79          500044        460504          0.92         323.00 success
     jobs  16.00           2 160002      16           4               2.00     0.11            2095          2051          0.98         646.00 success
     jobs  16.00           3 160003      16           4               2.00    44.67          500034        481689          0.96         378.00 success
     jobs  16.00           4 160004      16           4               2.00    32.33          500021        419479          0.84         288.00 success
     jobs  18.00           0 180000      18           4               2.00    21.84          338465        329632          0.97         420.00 success
     jobs  18.00           1 180001      18           4               2.00     3.54           57119         55935          0.98         475.00 success
     jobs  18.00           2 180002      18           4               2.00   304.96          500004        380825          0.76         400.00 success
     jobs  18.00           3 180003      18           4               2.00     1.31           24658         23975          0.97         660.00 success
     jobs  18.00           4 180004      18           4               2.00     0.22            4195          3946          0.94         656.00 success

========================================================================================================================
Total instances: 40
Success rate: 40/40
========================================================================================================================
