parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,runtime,nodes_explored,pruned_bound,pruning_rate,best_makespan,status
jobs,4.0,0,40000,4,4,2.0,0.0470016002655029,29,27,0.9310344827586207,78.0,success
jobs,4.0,1,40001,4,4,2.0,0.1820006370544433,119,54,0.453781512605042,72.0,success
jobs,4.0,2,40002,4,4,2.0,0.1938586235046386,250,110,0.44,52.0,success
jobs,4.0,3,40003,4,4,2.0,0.2415094375610351,261,63,0.2413793103448276,36.0,success
jobs,4.0,4,40004,4,4,2.0,0.1150016784667968,134,48,0.3582089552238806,68.0,success
jobs,6.0,0,60000,6,4,2.0,0.0799527168273925,109,68,0.6238532110091743,160.0,success
jobs,6.0,1,60001,6,4,2.0,0.0910005569458007,961,827,0.8605619146722164,95.0,success
jobs,6.0,2,60002,6,4,2.0,3.151592493057251,3094,2827,0.9137039431157078,132.0,success
jobs,6.0,3,60003,6,4,2.0,0.0201222896575927,322,291,0.9037267080745341,95.0,success
jobs,6.0,4,60004,6,4,2.0,0.1500005722045898,3199,2997,0.9368552672710222,105.0,success
jobs,8.0,0,80000,8,4,2.0,0.6416134834289551,13053,11682,0.8949666743277408,155.0,success
jobs,8.0,1,80001,8,4,2.0,0.021000862121582,297,286,0.9629629629629629,156.0,success
jobs,8.0,2,80002,8,4,2.0,0.0974805355072021,2178,2074,0.9522497704315886,160.0,success
jobs,8.0,3,80003,8,4,2.0,0.1254410743713379,2632,2451,0.9312310030395137,144.0,success
jobs,8.0,4,80004,8,4,2.0,6.763418197631836,12499,10120,0.8096647731818546,133.0,success
jobs,10.0,0,100000,10,4,2.0,0.3594958782196045,8350,7078,0.8476646706586827,220.0,success
jobs,10.0,1,100001,10,4,2.0,0.100001573562622,1041,983,0.9442843419788665,396.0,success
jobs,10.0,2,100002,10,4,2.0,0.1430039405822754,3132,3073,0.981162196679438,336.0,success
jobs,10.0,3,100003,10,4,2.0,2.554550647735596,2141,1619,0.7561886968706212,240.0,success
jobs,10.0,4,100004,10,4,2.0,0.4540226459503174,8252,7845,0.950678623364033,180.0,success
jobs,12.0,0,120000,12,4,2.0,17.59725308418274,32114,26819,0.8351186398455502,270.0,success
jobs,12.0,1,120001,12,4,2.0,45.58553576469421,500025,414899,0.8297565121743913,190.0,success
jobs,12.0,2,120002,12,4,2.0,278.8899915218353,500000,349258,0.698516,168.0,success
jobs,12.0,3,120003,12,4,2.0,0.579176664352417,8702,8468,0.9731096299701218,340.0,success
jobs,12.0,4,120004,12,4,2.0,2.2653393745422363,37903,36452,0.9617180698097776,245.0,success
jobs,14.0,0,140000,14,4,2.0,3.599041700363159,25095,20686,0.8243076310021916,300.0,success
jobs,14.0,1,140001,14,4,2.0,0.1310818195343017,2171,2117,0.9751266697374482,660.0,success
jobs,14.0,2,140002,14,4,2.0,0.3945050239562988,8605,8345,0.9697850087158628,480.0,success
jobs,14.0,3,140003,14,4,2.0,30.079952478408813,500030,472470,0.9448833070015799,279.0,success
jobs,14.0,4,140004,14,4,2.0,0.0502300262451171,751,729,0.9707057256990679,544.0,success
jobs,16.0,0,160000,16,4,2.0,1.2604682445526123,21918,21460,0.9791039328405876,527.0,success
jobs,16.0,1,160001,16,4,2.0,210.7914447784424,500044,460504,0.9209269584276584,323.0,success
jobs,16.0,2,160002,16,4,2.0,0.110001802444458,2095,2051,0.9789976133651551,646.0,success
jobs,16.0,3,160003,16,4,2.0,44.673659324646,500034,481689,0.963312494750357,378.0,success
jobs,16.0,4,160004,16,4,2.0,32.33222341537476,500021,419479,0.8389227652438598,288.0,success
jobs,18.0,0,180000,18,4,2.0,21.838934183120728,338465,329632,0.9739027669035203,420.0,success
jobs,18.0,1,180001,18,4,2.0,3.542402029037476,57119,55935,0.979271345786866,475.0,success
jobs,18.0,2,180002,18,4,2.0,304.9604287147522,500004,380825,0.7616439068487452,400.0,success
jobs,18.0,3,180003,18,4,2.0,1.3077592849731443,24658,23975,0.9723010787574012,660.0,success
jobs,18.0,4,180004,18,4,2.0,0.2245936393737793,4195,3946,0.9406436233611443,656.0,success
