========================================================================================================================
SENSITIVITY ANALYSIS: NUMBER OF MACHINES - FULL VIEW
========================================================================================================================

SUMMARY BY NUMBER OF MACHINES
========================================================================================================================

 machines  repetitions  avg_runtime  min_runtime  max_runtime  avg_nodes_explored  min_nodes_explored  max_nodes_explored  avg_pruned_bound  avg_pruning_rate  avg_makespan  min_makespan  max_makespan  successes  timeouts
        2            5         0.10         0.01         0.40             1742.80                  14                7781           1556.80              0.94        297.40        200.00        589.00          5         0
        3            5         0.02         0.01         0.04              280.20                   9                 656            263.60              0.95        328.20        276.00        440.00          5         0
        4            5         0.10         0.01         0.31             1562.00                  21                4604           1356.20              0.92        202.80        114.00        342.00          5         0
        5            5         6.03         0.11        18.63            27307.00                1389              102233          22731.00              0.87        126.60        112.00        143.00          5         0
        6            5        26.63         0.02        82.60            45653.20                 265              120588          36059.60              0.84        141.60         68.00        240.00          5         0
        7            5        41.48         0.16       107.51            30233.80                3410               66848          22057.80              0.80         93.20         52.00        112.00          5         0
        8            5        18.83         0.74        59.77            77736.40                5401              121577          67484.80              0.87         79.00         72.00         84.00          5         0
        9            5        47.18        10.60        91.33           100167.00               23442              175541          82146.60              0.78         67.00         60.00         80.00          5         0
       10            5       429.59         6.54      2057.43            85807.80               13195              189398          70448.20              0.84         77.40         42.00        120.00          5         0

========================================================================================================================
DETAILED RESULTS (ALL REPETITIONS)
========================================================================================================================

parameter  value  repetition   seed  n_jobs  m_machines  budget_multiplier  runtime  nodes_explored  pruned_bound  pruning_rate  best_makespan  status
 machines   2.00           0  20000       8           2               2.00     0.06             494           464          0.94         204.00 success
 machines   2.00           1  20001       8           2               2.00     0.40            7781          6907          0.89         200.00 success
 machines   2.00           2  20002       8           2               2.00     0.01              14            14          1.00         589.00 success
 machines   2.00           3  20003       8           2               2.00     0.01             113           108          0.96         270.00 success
 machines   2.00           4  20004       8           2               2.00     0.02             312           291          0.93         224.00 success
 machines   3.00           0  30000       8           3               2.00     0.03             223           200          0.90         300.00 success
 machines   3.00           1  30001       8           3               2.00     0.03             416           378          0.91         280.00 success
 machines   3.00           2  30002       8           3               2.00     0.01              97            94          0.97         276.00 success
 machines   3.00           3  30003       8           3               2.00     0.01               9             9          1.00         440.00 success
 machines   3.00           4  30004       8           3               2.00     0.04             656           637          0.97         345.00 success
 machines   4.00           0  40000       8           4               2.00     0.09            1837          1701          0.93         114.00 success
 machines   4.00           1  40001       8           4               2.00     0.01              21            21          1.00         252.00 success
 machines   4.00           2  40002       8           4               2.00     0.31            4604          3784          0.82         135.00 success
 machines   4.00           3  40003       8           4               2.00     0.07            1251          1186          0.95         171.00 success
 machines   4.00           4  40004       8           4               2.00     0.02              97            89          0.92         342.00 success
 machines   5.00           0  50000       8           5               2.00     0.97            6823          6336          0.93         132.00 success
 machines   5.00           1  50001       8           5               2.00     0.11            1389          1291          0.93         143.00 success
 machines   5.00           2  50002       8           5               2.00     0.11            2208          1918          0.87         126.00 success
 machines   5.00           3  50003       8           5               2.00    10.33           23882         19072          0.80         120.00 success
 machines   5.00           4  50004       8           5               2.00    18.63          102233         85038          0.83         112.00 success
 machines   6.00           0  60000       8           6               2.00     5.00           96564         84488          0.87          80.00 success
 machines   6.00           1  60001       8           6               2.00    45.46            9301          7352          0.79         152.00 success
 machines   6.00           2  60002       8           6               2.00     0.02             265           230          0.87         240.00 success
 machines   6.00           3  60003       8           6               2.00     0.09            1548          1494          0.97         168.00 success
 machines   6.00           4  60004       8           6               2.00    82.60          120588         86734          0.72          68.00 success
 machines   7.00           0  70000       8           7               2.00    30.68           29879         22404          0.75         112.00 success
 machines   7.00           1  70001       8           7               2.00   107.51           30918         23394          0.76          99.00 success
 machines   7.00           2  70002       8           7               2.00     1.09           20114         17818          0.89         112.00 success
 machines   7.00           3  70003       8           7               2.00     0.16            3410          3206          0.94          91.00 success
 machines   7.00           4  70004       8           7               2.00    67.94           66848         43467          0.65          52.00 success
 machines   8.00           0  80000       8           8               2.00     9.44          103881         89933          0.87          83.00 success
 machines   8.00           1  80001       8           8               2.00     0.74            5401          4835          0.90          84.00 success
 machines   8.00           2  80002       8           8               2.00    11.20           79902         71627          0.90          80.00 success
 machines   8.00           3  80003       8           8               2.00    13.01          121577        107310          0.88          72.00 success
 machines   8.00           4  80004       8           8               2.00    59.77           77921         63719          0.82          76.00 success
 machines   9.00           0  90000       8           9               2.00    30.33          175541        138473          0.79          60.00 success
 machines   9.00           1  90001       8           9               2.00    51.22          139596        129517          0.93          63.00 success
 machines   9.00           2  90002       8           9               2.00    52.44           48227         32023          0.66          60.00 success
 machines   9.00           3  90003       8           9               2.00    91.33           23442         16285          0.69          72.00 success
 machines   9.00           4  90004       8           9               2.00    10.60          114029         94435          0.83          80.00 success
 machines  10.00           0 100000       8          10               2.00    18.09           20986         18715          0.89          85.00 success
 machines  10.00           1 100001       8          10               2.00    22.01           13195         10633          0.81         120.00 success
 machines  10.00           2 100002       8          10               2.00  2057.43          189398        159688          0.84          90.00 success
 machines  10.00           3 100003       8          10               2.00     6.54           80991         75073          0.93          50.00 success
 machines  10.00           4 100004       8          10               2.00    43.86          124469         88132          0.71          42.00 success
