parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,runtime,nodes_explored,pruned_bound,pruning_rate,best_makespan,status
machines,2.0,0,20000,8,2,2.0,0.06169772148132324,494,464,0.9392712550607287,204.0,success
machines,2.0,1,20001,8,2,2.0,0.4000530242919922,7781,6907,0.8876751060275029,200.0,success
machines,2.0,2,20002,8,2,2.0,0.006707429885864258,14,14,1.0,589.0,success
machines,2.0,3,20003,8,2,2.0,0.011001110076904297,113,108,0.9557522123893806,270.0,success
machines,2.0,4,20004,8,2,2.0,0.023996353149414062,312,291,0.9326923076923077,224.0,success
machines,3,0,30000,8,3,2.0,0.033756256103515625,223,200,0.8968609865470852,300.0,success
machines,3,1,30001,8,3,2.0,0.029000520706176758,416,378,0.9086538461538461,280.0,success
machines,3,2,30002,8,3,2.0,0.013998270034790039,97,94,0.9690721649484536,276.0,success
machines,3,3,30003,8,3,2.0,0.008998632431030273,9,9,1.0,440.0,success
machines,3,4,30004,8,3,2.0,0.03800320625305176,656,637,0.9710365853658537,345.0,success
machines,4,0,40000,8,4,2.0,0.08800482749938965,1837,1701,0.9259662493195427,114.0,success
machines,4,1,40001,8,4,2.0,0.011999368667602539,21,21,1.0,252.0,success
machines,4,2,40002,8,4,2.0,0.3130218982696533,4604,3784,0.8218940052128584,135.0,success
machines,4,3,40003,8,4,2.0,0.06700444221496582,1251,1186,0.9480415667466027,171.0,success
machines,4,4,40004,8,4,2.0,0.01599860191345215,97,89,0.9175257731958762,342.0,success
machines,5,0,50000,8,5,2.0,0.9669067859649658,6823,6336,0.9286237725340759,132.0,success
machines,5,1,50001,8,5,2.0,0.10905051231384277,1389,1291,0.9294456443484521,143.0,success
machines,5,2,50002,8,5,2.0,0.11200284957885742,2208,1918,0.8686594202898551,126.0,success
machines,5,3,50003,8,5,2.0,10.334958791732788,23882,19072,0.798593082656394,120.0,success
machines,5,4,50004,8,5,2.0,18.629690170288086,102233,85038,0.8318057769995989,112.0,success
machines,6,0,60000,8,6,2.0,4.996735334396362,96564,84488,0.874943042955967,80.0,success
machines,6,1,60001,8,6,2.0,45.4553017616272,9301,7352,0.7904526395011289,152.0,success
machines,6,2,60002,8,6,2.0,0.022999286651611328,265,230,0.8679245283018868,240.0,success
machines,6,3,60003,8,6,2.0,0.08600568771362305,1548,1494,0.9651162790697675,168.0,success
machines,6,4,60004,8,6,2.0,82.60180306434631,120588,86734,0.7192589644077354,68.0,success
machines,7,0,70000,8,7,2.0,30.678887128829956,29879,22404,0.7498242913082768,112.0,success
machines,7,1,70001,8,7,2.0,107.50668597221375,30918,23394,0.7566466136231321,99.0,success
machines,7,2,70002,8,7,2.0,1.089808464050293,20114,17818,0.8858506512876604,112.0,success
machines,7,3,70003,8,7,2.0,0.16018009185791016,3410,3206,0.9401759530791789,91.0,success
machines,7,4,70004,8,7,2.0,67.94403743743896,66848,43467,0.6502363571086645,52.0,success
machines,8,0,80000,8,8,2.0,9.43649435043335,103881,89933,0.8657309806413107,83.0,success
machines,8,1,80001,8,8,2.0,0.741053581237793,5401,4835,0.89520459174227,84.0,success
machines,8,2,80002,8,8,2.0,11.20246934890747,79902,71627,0.8964356336512227,80.0,success
machines,8,3,80003,8,8,2.0,13.011260509490967,121577,107310,0.8826505013283763,72.0,success
machines,8,4,80004,8,8,2.0,59.765015602111816,77921,63719,0.8177384787156222,76.0,success
machines,9,0,90000,8,9,2.0,30.33002495765686,175541,138473,0.7888356566272267,60.0,success
machines,9,1,90001,8,9,2.0,51.22374749183655,139596,129517,0.9277987907962979,63.0,success
machines,9,2,90002,8,9,2.0,52.4358594417572,48227,32023,0.6640056399941942,60.0,success
machines,9,3,90003,8,9,2.0,91.3311870098114,23442,16285,0.69469328555584,72.0,success
machines,9,4,90004,8,9,2.0,10.59659194946289,114029,94435,0.8281665190434012,80.0,success
machines,10,0,100000,8,10,2.0,18.091631174087524,20986,18715,0.8917849995234919,85.0,success
machines,10,1,100001,8,10,2.0,22.013952493667603,13195,10633,0.8058355437665783,120.0,success
machines,10,2,100002,8,10,2.0,2057.4251189231873,189398,159688,0.843134563194965,90.0,success
machines,10,3,100003,8,10,2.0,6.5354509353637695,80991,75073,0.9269301527330197,50.0,success
machines,10,4,100004,8,10,2.0,43.8595986366272,124469,88132,0.7080638552571323,42.0,success
